,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
0,Dr. Shashidhar V.,Orthopedist,18,Bangalore,Yelenahalli,96% ,54,1000,"MBBS, MS - Orthopaedics"
1,Dr. Parameshwara C M,General Surgeon,28,Bangalore,HBR Layout,94% ,105,700,"MBBS, MS - General Surgery"
2,Dr. B A Gopala Krishna,Orthopedist,21,Bangalore,Banashankari 2nd Stage,97% ,29,600,"MBBS, DNB - Orthopedics/Orthopedic Surgery"
3,Dr. Sujay BR,Laparoscopic Surgeon,17,Bangalore,Jayanagar,94% ,34,499,"MBBS, MS - General Surgery"
4,Dr. Ranganath v s,Plastic Surgeon,20,Bangalore,HRBR Layout,100% ,15,600,"MCh - Plastic & Reconstructive Surgery, FNB - Hand and Microsurgery, MBBS, MS - General Surgery"
5,Dr. Naveen Kumar,Hair Transplant Surgeon,18,Bangalore,Koramangala 1 Block,98% ,56,700,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery"
6,Dr. Sharath Kumar Shetty,Orthopedist,21,Bangalore,HSR Layout,88% ,16,999,"MBBS, MS - Orthopaedics"
7,Dr. Nagendra. K,General Surgeon,29,Bangalore,Rajajinagar,100% ,N/A,699,"MBBS, MS - General Surgery"
8,Dr. Kiran Petkar,Plastic Surgeon,20,Bangalore,HSR Layout,97% ,27,699,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery, DNB - Plastic Surgery"
9,Dr. Shiva Kumar,General Surgeon,10,Bangalore,HSR Layout,72% ,8,499,"MBBS, DNB - General Surgery"
10,Dr. Chandrakant R Kesari,General Surgeon,18,Bangalore,Rajajinagar,N/A,N/A,500,"MBBS, MS - General Surgery"
11,Dr. Yogesh D,Ophthalmologist,21,Bangalore,Rajarajeshwarinagar,100% ,N/A,499,"MBBS, MS - Ophthalmology"
12,Dr. Narender M,Plastic Surgeon,17,Bangalore,HSR Layout,100% ,23,599,"MBBS, MS - General Surgery, MCh - Plastic Surgery"
13,Dr. Mahesh Babu,Urologist,13,Bangalore,Whitefield,100% ,7,599,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
14,Dr. Udaybhaskar M,Urologist,17,Bangalore,Jayanagar,76% ,27,499,"MBBS, MS - General Surgery, MCh - Urology"
15,Dr. Nipun A C,Urologist,17,Bangalore,Sahakaranagar,86% ,16,499,"MBBS, MS - General Surgery, MCh - Urology"
16,Dr. Vamsi Krishna M,General Surgeon,24,Bangalore,Whitefield,89% ,7,500,"MBBS, MS - General Surgery"
17,Dr. Sapna Purushotham,General Surgeon,12,Bangalore,Indiranagar,92% ,17,599,"MBBS, MS - General Surgery"
18,Dr. Vijay C R Reddy,General Surgeon,27,Bangalore,HSR Layout,92% ,13,599,"MS - General Surgery, MBBS"
19,Dr. Tejas Suresh Rao,General Physician,12,Bangalore,Yeshwanthpur,95% ,30,850,"MBBS, MD - General Medicine"
20,Dr. Karunesh Kumar H S,General Physician,30,Bangalore,Koramangala 6 Block,93% ,254,600,"MBBS, MD - General Medicine"
21,Dr. Prabha Ramadorai,Internal Medicine,24,Bangalore,Hulimavu,91% ,36,500,"MBBS, MD - General Medicine"
22,Dr. Tejeswini Deepak,Endocrinologist,25,Bangalore,Koramangala 5 Block,88% ,43,700,"MBBS, MD - General Medicine, Fellow of American College of Endocrinology(FACE)"
23,Dr. Umesh Gupta,Internal Medicine,19,Bangalore,Hebbal,93% ,39,800,"MBBS, MD - General Medicine, DNB - Cardiology"
24,Dr. Ashok.M.L,General Physician,31,Bangalore,Jayanagar,96% ,12,750,"MBBS, MD - General Medicine"
25,Dr. Abdul Majid,General Physician,45,Bangalore,Yeshwanthpur,100% ,3,950,MBBS
26,Dr. Pradeep Hosamani,Ear-Nose-Throat (ENT) Specialist,21,Bangalore,Seshadripuram,88% ,9,740,"MBBS, MS - ENT, DNB - ENT"
27,Dr. Aravind G. M.,Internal Medicine,21,Bangalore,Jayanagar 9 Block,95% ,25,650,"MBBS, DNB - General Medicine"
28,Dr. Balakrishna GK,Internal Medicine,36,Bangalore,Kengeri,82% ,13,400,"MBBS, MD - General Medicine"
29,Dr. Sharada Shekar,General Physician,40,Bangalore,Seshadripuram,92% ,37,740,MBBS
30,Dr. Ruchi Satyesh,General Physician,24,Bangalore,Bilekahalli,97% ,85,500,MBBS
31,Dr. Amarnath K A,General Physician,18,Bangalore,Hebbal,100% ,3,800,"MBBS, MD - General Medicine"
32,Dr. Kamal Bhalla,Internal Medicine,25,Bangalore,Jayanagar 9 Block,83% ,7,650,"MBBS, MD - General Medicine"
33,Dr. B Rajashekar,General Physician,35,Bangalore,Indiranagar,84% ,96,600,"MBBS, MD - General Medicine"
34,Dr. Siri Kamath,General Physician,13,Bangalore,Kengeri,65% ,7,400,"MBBS, DNB - General Medicine"
35,Dr. Renu Saraogi,General Physician,23,Bangalore,Bellandur,96% ,69,500,MBBS
36,Dr. Dilip Joseph Wilson,General Physician,31,Bangalore,Sarjapur Road,91% ,195,450,MBBS
37,Dr. Krishna Kumar,Ayurveda,14,Bangalore,BTM Layout 2nd Stage,97% ,485,400,BAMS
38,Dr. Ravi Shankerji Kesari,General Physician,18,Bangalore,Koramangala 5 Block,70% ,8,600,MD - Physician
39,Dr. Regina Joseph,General Physician,30,Bangalore,HSR Layout,88% ,59,700,"MBBS, MD - Social & Preventive Medicine / Community Medicine, Fellowship in Aesthetic Medicine (FAM)"
40,Dr. Sheela Chakravarthy,Internal Medicine,30,Bangalore,Bannerghatta Road,90% ,42,850,"MD - General Medicine, MBBS"
41,Dr. Raja Selvarajan,General Physician,Sp,Bangalore,Domlur,95% ,298,6,"MBBS, MD - Internal Medicine,  FRCP"
42,Dr. Shalini Joshi,Internal Medicine,18,Bangalore,Bannerghatta Road,87% ,74,850,"MBBS, MD - Medicine"
