,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
0,Dr. Rohit Krishna,Plastic Surgeon,26,Delhi,Greater Kailash Part 2,88% ,8,500,"MBBS, MS - General Surgery, MCh - Plastic Surgery"
1,Dr. Abhiyan Kumar Pattnaik,Ophthalmologist,22,Delhi,Lajpat Nagar III,95% ,21,500,"DO, MBBS"
2,Dr. Vinay Sabharwal,General Surgeon,46,Delhi,Karol Bagh,88% ,7,700,"MBBS, MS - General Surgery"
3,Dr. Rakesh Mahajan,Ophthalmologist,36,Delhi,Pitampura,100% ,1,500,"MBBS, DO"
4,Dr. Rajat Jain,Ophthalmologist,15,Delhi,Delhi,86% ,11,599,"MBBS, MS - Ophthalmology"
5,Dr. Madhur Mahna,Orthopedist,12,Delhi,Rajouri Garden,90% ,117,600,"MBBS, DNB - Orthopedics/Orthopedic Surgery"
6,Dr. Manik Mittal,Ophthalmologist,12,Delhi,Paschim Vihar,98% ,45,699,"MBBS, MD - Ophthalmology"
7,Dr. Shweta Jain,Ophthalmologist,10,Delhi,Paschim Vihar,97% ,64,499,"MBBS, DNB - Ophthalmology"
8,Dr. Tapeshwar Sehgal,Plastic Surgeon,24,Delhi,Dwarka,75% ,11,699,"MBBS, MS - General Surgery, DNB - Plastic Surgery"
9,Dr. Ashutosh Mishra,Plastic Surgeon,22,Delhi,Greater Kailash Part 1,79% ,9,999,"MBBS, MCh - Plastic Surgery, MS - General Surgery"
10,Dr. Chandan Das,General Surgeon,17,Delhi,Greater Kailash Part 2,98% ,59,499,"MBBS, MS - General Surgery"
11,Dr. Saurabh Kumar Goyal,General Surgeon,14,Delhi,Greater Kailash Part 2,80% ,5,799,"MBBS, MS - General Surgery"
12,Dr. Brahmanand Lal,Pediatric Surgeon,13,Delhi,Greater Kailash Part 2,100% ,26,1000,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery"
13,Dr. Surjeet Kumar,Laparoscopic Surgeon,17,Delhi,Greater Kailash Part 2,N/A,N/A,99,"MBBS, MS - General Surgery"
14,Dr. Varun Gogia,Ophthalmologist,15,Delhi,Lajpat Nagar 4,99% ,425,800,"MBBS, MD - Ophthalmology"
15,Dr. Ankush Mutreja,Ophthalmologist,14,Delhi,Dwarka,92% ,84,699,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)"
16,Dr. Lagan Paul Mutreja,Ophthalmologist,12,Delhi,Dwarka,100% ,N/A,500,"MBBS, MS - Ophthalmology"
17,Dr. Chandrakant Kar,Urologist,24,Delhi,Dwarka,81% ,49,699,"MCh - Urology, MS - General Surgery, MBBS"
18,Dr. Deepankur Mahajan,Ophthalmologist,16,Delhi,Pitampura,91% ,7,1000,"MD - Ophthalmology, MBBS"
19,Dr. Alkesh Chaudary,Ophthalmologist,29,Delhi,Greater Kailash Part 2,86% ,N/A,1000,"MS - Ophthalmology, MBBS"
20,Dr. Nikunj Bansal,General Surgeon,21,Delhi,Karol Bagh,100% ,6,499,"MBBS, MS - General Surgery"
21,Dr. Robin Aggarwal,Ophthalmologist,12,Delhi,Panchsheel Park,100% ,2,699,"MD - Physician, DO"
22,Dr. Saurabh Singh,Ophthalmologist,20,Delhi,Panchsheel Park,75% ,3,699,"MBBS, MS - Ophthalmology"
23,Dr. Vipin Kumar Grover,General Surgeon,37,Delhi,Vikas Puri,67% ,2,699,"MBBS, MS - General Surgery"
24,Dr. Rahul Sinha,General Surgeon,16,Delhi,Pitampura,100% ,N/A,1000,"MBBS, DNB - General Surgery"
