,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
0,Dr. Shashidhar V.,Orthopedist,18.0,Bangalore,Yelenahalli,96,54.0,1000.0,"MBBS, MS - Orthopaedics"
1,Dr. Parameshwara C M,General Surgeon,28.0,Bangalore,HBR Layout,94,105.0,700.0,"MBBS, MS - General Surgery"
2,Dr. B A Gopala Krishna,Orthopedist,21.0,Bangalore,Banashankari 2nd Stage,97,29.0,600.0,"MBBS, DNB - Orthopedics/Orthopedic Surgery"
3,Dr. Sujay BR,Laparoscopic Surgeon,17.0,Bangalore,Jayanagar,94,34.0,499.0,"MBBS, MS - General Surgery"
4,Dr. Ranganath v s,Plastic Surgeon,20.0,Bangalore,HRBR Layout,100,15.0,600.0,"MCh - Plastic & Reconstructive Surgery, FNB - Hand and Microsurgery, MBBS, MS - General Surgery"
5,Dr. Naveen Kumar,Hair Transplant Surgeon,18.0,Bangalore,Koramangala 1 Block,98,56.0,700.0,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery"
6,Dr. Sharath Kumar Shetty,Orthopedist,21.0,Bangalore,HSR Layout,88,16.0,999.0,"MBBS, MS - Orthopaedics"
8,Dr. Kiran Petkar,Plastic Surgeon,20.0,Bangalore,HSR Layout,97,27.0,699.0,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery, DNB - Plastic Surgery"
9,Dr. Shiva Kumar,General Surgeon,10.0,Bangalore,HSR Layout,72,8.0,499.0,"MBBS, DNB - General Surgery"
12,Dr. Narender M,Plastic Surgeon,17.0,Bangalore,HSR Layout,100,23.0,599.0,"MBBS, MS - General Surgery, MCh - Plastic Surgery"
13,Dr. Mahesh Babu,Urologist,13.0,Bangalore,Whitefield,100,7.0,599.0,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
14,Dr. Udaybhaskar M,Urologist,17.0,Bangalore,Jayanagar,76,27.0,499.0,"MBBS, MS - General Surgery, MCh - Urology"
15,Dr. Nipun A C,Urologist,17.0,Bangalore,Sahakaranagar,86,16.0,499.0,"MBBS, MS - General Surgery, MCh - Urology"
16,Dr. Vamsi Krishna M,General Surgeon,24.0,Bangalore,Whitefield,89,7.0,500.0,"MBBS, MS - General Surgery"
17,Dr. Sapna Purushotham,General Surgeon,12.0,Bangalore,Indiranagar,92,17.0,599.0,"MBBS, MS - General Surgery"
18,Dr. Vijay C R Reddy,General Surgeon,27.0,Bangalore,HSR Layout,92,13.0,599.0,"MS - General Surgery, MBBS"
19,Dr. Tejas Suresh Rao,General Physician,12.0,Bangalore,Yeshwanthpur,95,30.0,850.0,"MBBS, MD - General Medicine"
20,Dr. Karunesh Kumar H S,General Physician,30.0,Bangalore,Koramangala 6 Block,93,254.0,600.0,"MBBS, MD - General Medicine"
21,Dr. Prabha Ramadorai,Internal Medicine,24.0,Bangalore,Hulimavu,91,36.0,500.0,"MBBS, MD - General Medicine"
22,Dr. Tejeswini Deepak,Endocrinologist,25.0,Bangalore,Koramangala 5 Block,88,43.0,700.0,"MBBS, MD - General Medicine, Fellow of American College of Endocrinology(FACE)"
23,Dr. Umesh Gupta,Internal Medicine,19.0,Bangalore,Hebbal,93,39.0,800.0,"MBBS, MD - General Medicine, DNB - Cardiology"
24,Dr. Ashok.M.L,General Physician,31.0,Bangalore,Jayanagar,96,12.0,750.0,"MBBS, MD - General Medicine"
25,Dr. Abdul Majid,General Physician,45.0,Bangalore,Yeshwanthpur,100,3.0,950.0,MBBS
26,Dr. Pradeep Hosamani,Ear-Nose-Throat (ENT) Specialist,21.0,Bangalore,Seshadripuram,88,9.0,740.0,"MBBS, MS - ENT, DNB - ENT"
27,Dr. Aravind G. M.,Internal Medicine,21.0,Bangalore,Jayanagar 9 Block,95,25.0,650.0,"MBBS, DNB - General Medicine"
28,Dr. Balakrishna GK,Internal Medicine,36.0,Bangalore,Kengeri,82,13.0,400.0,"MBBS, MD - General Medicine"
29,Dr. Sharada Shekar,General Physician,40.0,Bangalore,Seshadripuram,92,37.0,740.0,MBBS
30,Dr. Ruchi Satyesh,General Physician,24.0,Bangalore,Bilekahalli,97,85.0,500.0,MBBS
31,Dr. Amarnath K A,General Physician,18.0,Bangalore,Hebbal,100,3.0,800.0,"MBBS, MD - General Medicine"
32,Dr. Kamal Bhalla,Internal Medicine,25.0,Bangalore,Jayanagar 9 Block,83,7.0,650.0,"MBBS, MD - General Medicine"
33,Dr. B Rajashekar,General Physician,35.0,Bangalore,Indiranagar,84,96.0,600.0,"MBBS, MD - General Medicine"
34,Dr. Siri Kamath,General Physician,13.0,Bangalore,Kengeri,65,7.0,400.0,"MBBS, DNB - General Medicine"
35,Dr. Renu Saraogi,General Physician,23.0,Bangalore,Bellandur,96,69.0,500.0,MBBS
36,Dr. Dilip Joseph Wilson,General Physician,31.0,Bangalore,Sarjapur Road,91,195.0,450.0,MBBS
37,Dr. Krishna Kumar,Ayurveda,14.0,Bangalore,BTM Layout 2nd Stage,97,485.0,400.0,BAMS
38,Dr. Ravi Shankerji Kesari,General Physician,18.0,Bangalore,Koramangala 5 Block,70,8.0,600.0,MD - Physician
39,Dr. Regina Joseph,General Physician,30.0,Bangalore,HSR Layout,88,59.0,700.0,"MBBS, MD - Social & Preventive Medicine / Community Medicine, Fellowship in Aesthetic Medicine (FAM)"
40,Dr. Sheela Chakravarthy,Internal Medicine,30.0,Bangalore,Bannerghatta Road,90,42.0,850.0,"MD - General Medicine, MBBS"
42,Dr. Shalini Joshi,Internal Medicine,18.0,Bangalore,Bannerghatta Road,87,74.0,850.0,"MBBS, MD - Medicine"
43,Dr. SS Kumar,Internal Medicine,48.0,Bangalore,Seshadripuram,98,64.0,740.0,"MBBS, MD - General Medicine"
44,Dr. Malla Reddy,Internal Medicine,21.0,Bangalore,Bannerghatta Road,40,3.0,850.0,"MBBS, MD - General Medicine"
45,Dr. Shivaram HR,General Physician,21.0,Bangalore,Kanakpura Road,96,255.0,600.0,"MBBS, MD - Medicine"
46,Dr. Harish K V,General Physician,26.0,Bangalore,Richmond Town,88,24.0,1000.0,"MBBS, MD - General Medicine"
47,Dr. Prashant Dinesh,General Physician,20.0,Bangalore,Indiranagar,99,169.0,600.0,MBBS
48,Dr. S M Fayaz,General Physician,11.0,Bangalore,Kadugodi,98,134.0,600.0,"MD - General Medicine, MBBS"
49,Dr. Narendra Rao,General Physician,45.0,Bangalore,Kalkere,96,178.0,650.0,"MBBS, Diploma in Public Health, MD - Community Medicine"
50,Dr. Harish N S,General Physician,13.0,Bangalore,Basavanagudi,98,94.0,500.0,"MBBS, Fellowship in Diabetes (UK), MD - General Medicine"
51,Dr. Ravi Kumar V N,General Physician,24.0,Bangalore,Yeshwanthpur,100,3.0,850.0,"MBBS, DNB - General Medicine"
52,Dr. Sheetal Kamat,Internal Medicine,20.0,Bangalore,Seshadripuram,90,7.0,740.0,"MBBS, DNB - General Medicine"
53,Dr. Leelamohan PVR,General Physician,13.0,Bangalore,HSR Layout,91,489.0,750.0,"MBBS, MD - General Medicine"
54,Dr. Ramesh KN,General Physician,28.0,Bangalore,Cunningham Road,99,28.0,700.0,"MBBS, MD - General Medicine"
55,Dr. Girikumar Venati,Internal Medicine,15.0,Bangalore,Bannerghatta Road,90,26.0,850.0,"MBBS, MD - Internal Medicine"
57,Dr. Balaji Jaganmohan,General Physician,18.0,Bangalore,Padmanabhanagar,94,87.0,750.0,MD - Medicine (Equivalent to MBBS)
58,Dr. Neelam Vasudeva,Internal Medicine,10.0,Bangalore,HSR Layout,94,81.0,500.0,"MBBS, MD - General Medicine"
59,Dr. Shruti Arya,General Physician,15.0,Bangalore,Whitefield,88,15.0,800.0,"MBBS, MD - Internal Medicine"
60,Dr. Sunil S Bohra,General Physician,21.0,Bangalore,Richmond Town,98,34.0,750.0,"MBBS, DNB - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)"
61,Dr. Ahmed Husain,General Physician,35.0,Bangalore,Jayanagar 4 Block,92,30.0,325.0,MBBS
62,Dr. (Col) Mohan K,Family Physician,31.0,Bangalore,Vidyanagar,97,26.0,500.0,"DNB - Family Medicine, MBBS, MNAMS- Family Medicine"
65,Dr. Shashidhara G,Internal Medicine,27.0,Bangalore,HSR Layout,58,11.0,500.0,"MBBS, MD - General Medicine"
67,Dr. Bindu suresh,General Physician,20.0,Bangalore,Bellandur,89,11.0,600.0,"MBBS, MD - General Medicine"
68,Dr. Vasanthakumar R.S,Nephrologist,42.0,Bangalore,Seshadripuram,80,3.0,740.0,"MBBS, MD - General Medicine, DM - Nephrology"
69,Dr. Dinesh V Kamath,General Physician,36.0,Bangalore,Malleswaram,94,15.0,650.0,"MBBS, MD - General Medicine"
70,Dr. Jayasree Kailasam,Internal Medicine,24.0,Bangalore,Bannerghatta Road,100,1.0,850.0,"MBBS, DNB - General Medicine"
71,Dr. Shankar V,General Physician,37.0,Bangalore,Malleswaram,77,9.0,650.0,"MBBS, MD - General Medicine"
72,Dr. Mahesh Chandra Pai,Internal Medicine,23.0,Bangalore,Yeshwanthpur,96,109.0,600.0,"MBBS, DNB - General Medicine"
73,Dr. Anusuya Shetty,Internal Medicine,24.0,Bangalore,Bellandur,71,24.0,650.0,"MBBS, DNB - General Medicine"
75,Dr. Daisy Rani Rao,Dietitian/Nutritionist,41.0,Bangalore,Kalkere,88,60.0,550.0,"MBBS, DO, Diploma in Dietetics & Public Health Nutrition (DDPHN)"
76,Dr. K. N. Manjunath,Internal Medicine,44.0,Bangalore,Millers Road,89,9.0,1000.0,"MBBS, DNB - General Medicine"
78,Dr. Yashoda  Ravi,General Physician,11.0,Bangalore,Cunningham Road,95,1.0,700.0,"MBBS, MD - General Medicine, MRCP (UK)"
79,Dr. Ambanna Gowda,Internal Medicine,12.0,Bangalore,Vasanthnagar,86,21.0,800.0,"MBBS, MD - General Medicine"
80,Dr. Basavaraj Kuntoji,General Physician,22.0,Bangalore,Malleswaram,100,5.0,650.0,"MBBS, MD - General Medicine"
81,Dr. Shalini C,Family Physician,13.0,Bangalore,Shantinagar,96,60.0,600.0,"MBBS, DNB - Family Medicine"
83,Dr. A Vijaya Vardhan,Internal Medicine,33.0,Bangalore,Basavanagudi,93,8.0,600.0,"MBBS, MD - General Medicine"
84,Dr. Shilpa Singi,General Physician,23.0,Bangalore,Kundalahalli,80,17.0,650.0,"DNB - General Medicine, MBBS"
85,Dr. T.N Venkata Subba Rao,General Physician,30.0,Bangalore,Banaswadi,97,131.0,650.0,MBBS
86,Dr. Raakhee Padival,General Physician,22.0,Bangalore,Indiranagar,82,21.0,600.0,MBBS
87,Dr. Huzefa Suratwala  Ismail,General Physician,23.0,Bangalore,AECS Layout,86,31.0,600.0,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - General Medicine"
88,Dr. KVS Mahesh,General Physician,26.0,Bangalore,Indiranagar,87,5.0,500.0,MBBS
89,Dr. Ashok M N,General Physician,21.0,Bangalore,Rajajinagar,87,14.0,560.0,"DNB - General Medicine, MBBS"
92,Dr. Uvaraj Prakash,General Physician,23.0,Bangalore,RT Nagar,100,8.0,400.0,MBBS
93,Dr. Susheela Suresh,Internal Medicine,37.0,Bangalore,Ashoknagar,62,6.0,800.0,"MD - General Medicine, MBBS"
94,Dr. Anusha N D,General Physician,11.0,Bangalore,Koramangala,100,61.0,600.0,"MBBS, MD - General Medicine, DM - Endocrinology"
95,Dr. Shabbir Ahmed,General Physician,47.0,Bangalore,Koramangala 5 Block,67,2.0,800.0,MBBS
96,Dr. Anilkumar A Kustagi,Internal Medicine,17.0,Bangalore,Bannerghatta Road,80,24.0,850.0,"MBBS, MD - General Medicine"
97,Dr. Niveditha Alok Swamy,General Physician,12.0,Bangalore,Basaveshwaranagar,100,13.0,500.0,"MBBS, MD - General Medicine"
98,Dr. Divya K S,General Physician,15.0,Bangalore,Seshadripuram,100,3.0,900.0,"MBBS, DNB - General Medicine"
100,Dr. Kavitha,General Physician,19.0,Bangalore,Yeshwanthpur,100,33.0,600.0,"MBBS, DNB - Family Medicine"
102,Dr. Santhosh Kumar,Cardiologist,18.0,Bangalore,JP Nagar 7 Phase,67,3.0,600.0,"DM - Cardiology, MD - General Medicine, MBBS"
103,Dr. Rajendra Narayan Sharma,General Physician,30.0,Bangalore,Koramangala 5 Block,20,4.0,650.0,MBBS
105,Dr. Minakshi Dutta,General Physician,36.0,Bangalore,Domlur,100,1.0,500.0,MBBS
106,Dr. Anil Kumar Jain,General Physician,10.0,Bangalore,Chickpet,87,25.0,350.0,MBBS
108,Dr. Yeshwanth H,General Physician,16.0,Bangalore,Banashankari,100,3.0,400.0,"MBBS, MD - General Medicine"
111,Dr. Vidya. S,General Physician,20.0,Bangalore,Sarjapur Road,100,1.0,550.0,MBBS
114,Dr. Naveed,General Physician,28.0,Bangalore,Banaswadi,60,2.0,700.0,MBBS
116,Dr. Ameena Meah,General Physician,11.0,Bangalore,Mahadevapura,100,34.0,700.0,"MBBS, MD - General Medicine, DNB - General Medicine"
118,Dr. Qaisar Anwar,General Physician,42.0,Bangalore,Ashoknagar,75,4.0,800.0,"MBBS, MD - General Medicine"
119,Dr. Praveen Kumar B S,Pulmonologist,15.0,Bangalore,Kammana Halli,80,2.0,750.0,"MBBS, MD - Pulmonary Medicine"
128,Dr. Malathi Ramesh,General Physician,30.0,Bangalore,HSR Layout,98,260.0,400.0,MBBS
129,Dr. P. Suprabha,General Physician,34.0,Bangalore,Whitefield,95,83.0,450.0,MBBS
130,Dr. Ravishankar Reddy C. R.,Neurologist,29.0,Bangalore,Koramangala 1 Block,88,238.0,1000.0,"MBBS, MD - General Medicine, DNB - Neurology"
131,Dr. Meer Ziauddin,General Physician,30.0,Bangalore,Whitefield,87,27.0,500.0,MBBS
132,Dr. Purnima K,General Physician,16.0,Bangalore,Hulimavu,100,76.0,500.0,"MBBS, DNB - General Medicine"
133,Dr. Sarita Ramachandran,General Physician,28.0,Bangalore,Sanjay Nagar,98,33.0,450.0,MBBS
134,Dr. R Manjunath,Internal Medicine,33.0,Bangalore,Jayanagar 9 Block,86,41.0,650.0,"MBBS, MD - General Medicine"
135,Dr. Dhananjay Bhaskarachrar,General Physician,21.0,Bangalore,Bommanahalli,96,48.0,500.0,MBBS
137,Dr. Sujatha K.C,General Practitioner,23.0,Bangalore,Bileshivale,100,22.0,400.0,MBBS
138,Dr. Pankaj Singhai,Internal Medicine,28.0,Bangalore,Old Airport Road,87,45.0,750.0,"DNB - General Medicine, MBBS"
139,Dr. Rupashree S P,General Physician,31.0,Bangalore,Koramangala 5 Block,93,12.0,700.0,"MBBS, DNB - General Medicine"
143,Dr. Saikiran. S,General Physician,22.0,Bangalore,Vijayanagar,93,88.0,700.0,"MBBS, MD - Family Medicine"
144,Dr. Lakshmi P V,Emergency & Critical Care,21.0,Bangalore,JP Nagar 8 Phase,99,107.0,400.0,"MBBS, Member of Royal College of Emergency Medicine(MRCEM)"
145,Dr. Vinay D,Infectious Diseases Physician,13.0,Bangalore,Jayanagar,93,12.0,630.0,"FNB - Infectious Disease, DNB - General Medicine, DNB - Infectious Disease, MBBS"
147,Dr. U Himanish,General Physician,21.0,Bangalore,Doddabommasandra,100,19.0,700.0,MD - Physician
148,Dr. Aswathy Mary James,Internal Medicine,21.0,Bangalore,Jayanagar,100,1.0,750.0,"MBBS, DNB - General Medicine"
149,Dr. Swarna Das,Internal Medicine,30.0,Bangalore,Bannerghatta Road,82,7.0,850.0,"MBBS, MD - General Medicine"
150,Dr. Soumya Y S,Family Physician,24.0,Bangalore,Uttarahalli,98,129.0,500.0,"MBBS, DNB - Family Medicine"
151,Dr. Sharat Honnatti,General Physician,19.0,Bangalore,HSR Layout,96,574.0,750.0,MD - Physician
153,Dr. H R Chandrika,General Physician,31.0,Bangalore,Jayanagar 9 Block,82,7.0,250.0,"MBBS, Diploma in Clinical Pathology"
154,Dr. B. Pradeep Kumar,General Physician,31.0,Bangalore,Murugeshpalya,63,2.0,250.0,MBBS
155,Dr. Tharanath S,General Physician,10.0,Bangalore,Sahakaranagar,99,73.0,550.0,"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetes Management"
156,Dr. Uma. M,General Physician,13.0,Bangalore,Electronics City,98,218.0,500.0,MBBS
157,Dr. N Prasanth Kumar,Ear-Nose-Throat (ENT) Specialist,26.0,Bangalore,Siddapura,77,8.0,500.0,"MBBS, Diploma in Otorhinolaryngology (DLO)"
158,Dr. Kalaivani,General Physician,23.0,Bangalore,HSR Layout,85,44.0,500.0,"MBBS, MD - General Medicine"
159,Dr. Mohan Badagandi,General Physician,47.0,Bangalore,Old Airport Road,92,24.0,900.0,MBBS
160,Dr. Sudha Menon,Internal Medicine,39.0,Bangalore,Bannerghatta Road,88,69.0,850.0,"MBBS, MD - General Medicine"
161,Dr. Basanth Kumar.S,General Physician,19.0,Bangalore,Kalyan Nagar,91,3.0,650.0,"MBBS, MD - General Medicine"
162,Dr. Anupama S Kakade,General Physician,18.0,Bangalore,Indiranagar,90,11.0,650.0,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)"
163,Dr. Asha R,Internal Medicine,23.0,Bangalore,Jayanagar 9 Block,86,1.0,500.0,"MD - General Medicine, MBBS"
165,Dr. Anshuman Khaitan,General Physician,45.0,Bangalore,Koramangala 5 Block,56,5.0,1000.0,MBBS
166,Dr. Sheela Abraham,General Physician,35.0,Bangalore,Kundalahalli,100,10.0,600.0,MBBS
167,Dr. Priyanka P,Internal Medicine,13.0,Bangalore,Banaswadi,100,11.0,400.0,"MBBS, MD - General Medicine, DNB - General Medicine"
168,Dr. Sachin,General Physician,13.0,Bangalore,Hebbal,97,66.0,650.0,"MBBS, MD - General Medicine"
169,Dr. Pradeep G,General Physician,21.0,Bangalore,Chikkakallasandra,40,4.0,300.0,MBBS
170,Dr. Ramesh Kumar R N,General Physician,50.0,Bangalore,JP Nagar 7 Phase,83,4.0,400.0,MBBS
171,Dr. Harish R J,General Physician,21.0,Bangalore,Munnekollal,99,77.0,650.0,MBBS
172,Dr. Chinthan S Gubbari,Pediatrician,11.0,Bangalore,Vinayaka Nagar,97,16.0,250.0,"MD - Pediatrics, MBBS"
175,Dr. Teena Thomas,General Physician,24.0,Bangalore,Varthur,91,143.0,800.0,MBBS
176,Dr. Vishwesh Babu Vishnumurthy,General Physician,21.0,Bangalore,TATA Nagar,100,108.0,700.0,MBBS
178,Dr. Vishwanath BL,General Physician,18.0,Bangalore,Kumaraswamy Layout,97,34.0,500.0,"MBBS, MD - General Medicine"
179,Dr. Basavaraj GS,Endocrinologist,14.0,Bangalore,Koramangala,98,83.0,600.0,"MBBS, MD - General Medicine, DM - Endocrinology"
180,Dr. Sheeba Rani,Psychologist,23.0,Bangalore,Koramangala,91,11.0,500.0,"BHMS, MD - Homeopathy, MS - Counselling and Psychotherapy"
181,Dr. Vinay H G,General Surgeon,14.0,Bangalore,Whitefield,100,11.0,400.0,"MBBS, MS - General Surgery"
182,Dr. Manohar K N,Internal Medicine,20.0,Bangalore,Old Airport Road,71,40.0,750.0,"MD - General Medicine, MBBS"
183,Dr. Suresh G,General Physician,32.0,Bangalore,Bellandur,75,13.0,650.0,"MBBS, MD - General Medicine"
184,Dr. Somnath Mitra,General Physician,38.0,Bangalore,Old Airport Road,76,32.0,750.0,"MBBS, MD - General Medicine"
185,Dr. Suresh. K. G,Internal Medicine,24.0,Bangalore,Old Airport Road,76,7.0,750.0,"MBBS, MD - General Medicine"
188,Dr. Urvashi Jain,General Physician,11.0,Bangalore,Kasavanahalli,92,9.0,400.0,"DNB - General Medicine, MBBS"
189,Dr. Rajendra Prasad,Internal Medicine,35.0,Bangalore,Koramangala 5 Block,60,46.0,500.0,"MD - General Medicine, MBBS"
192,Dr. Ashwani Garg,General Physician,12.0,Bangalore,Horamavu,100,1.0,2000.0,MBBS
193,Dr. Muneeb Ahmed Yasir,Endocrinologist,22.0,Bangalore,Richmond Town,98,62.0,650.0,"MBBS, MRCP (UK)"
194,Dr. Rajesh K,General Physician,10.0,Bangalore,Mahadevapura,99,57.0,600.0,"MD - Emergency Medicine, MBBS"
195,Dr. H.M.Krishnamurthy,General Physician,38.0,Bangalore,Sampangiramnagar,100,1.0,800.0,MBBS
196,Dr. Lekshmi Narendran,General Physician,12.0,Bangalore,JP Nagar 7 Phase,100,10.0,500.0,MBBS
198,Dr. Kavita Manwani,General Physician,26.0,Bangalore,JP Nagar 7 Phase,100,1.0,600.0,MBBS
199,Dr. Prathibha,General Practitioner,14.0,Bangalore,Kothanur,100,42.0,350.0,MBBS
201,Dr. Girish B Raj,General Physician,16.0,Bangalore,Akshaya nagar,100,7.0,600.0,MBBS
202,Dr. Anitha M Dias,Internal Medicine,10.0,Bangalore,Old Airport Road,40,3.0,750.0,"MBBS, MD - General Medicine"
203,Dr. S. Lokesh,Internal Medicine,12.0,Bangalore,KR Puram,100,5.0,350.0,"MBBS, MD - General Medicine"
204,Dr. Mohammed Tauseef,General Physician,15.0,Bangalore,Koramangala,100,5.0,500.0,MBBS
205,Dr. Swetha J,General Physician,12.0,Bangalore,Nagasandra,95,29.0,600.0,"MBBS, MD - General Medicine"
208,Dr. Shivaji Rao C S,Internal Medicine,48.0,Bangalore,JP Nagar 7 Phase,50,4.0,650.0,"MBBS, MD - General Medicine"
209,Dr. Manjunath K,General Physician,30.0,Bangalore,Rajajinagar,100,1.0,560.0,"MBBS, DNB - General Medicine"
211,Dr. Jagadeesh K H,General Physician,16.0,Bangalore,Sarjapur Road,100,4.0,600.0,"MBBS, DNB - General Medicine"
212,Dr. Ranjit Mohan,General Physician,11.0,Bangalore,Old Airport Road,80,4.0,750.0,"MBBS, MD - General Medicine"
214,Dr. Lorraine S Dias,General Physician,18.0,Bangalore,Vijayanagar,100,42.0,700.0,"MBBS, MD - General Medicine"
218,Dr. Chinmayi C,Diabetologist,22.0,Bangalore,Nagarbhavi,100,1.0,250.0,MBBS
220,Dr. Uma Buggi,Internal Medicine,32.0,Bangalore,Koramangala 5 Block,25,4.0,500.0,"MBBS, MD - General Medicine"
221,Dr. Samith A Shetty,General Physician,22.0,Bangalore,Vasanthnagar,95,50.0,900.0,MBBS
222,Dr. Uma Sekar,General Physician,10.0,Bangalore,Vijayanagar,95,42.0,500.0,"MBBS, MD - General Medicine"
223,Dr. Sanjay Reddy,General Physician,26.0,Bangalore,Cunningham Road,83,2.0,700.0,"MBBS, MD - General Medicine"
226,Dr. Reena Mathew,General Physician,22.0,Bangalore,Hennur,100,3.0,400.0,MBBS
227,Dr. Soumya Yeturi,Internal Medicine,25.0,Bangalore,Sarjapur Road,88,3.0,700.0,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)"
231,Dr. Sudhir B S,General Physician,22.0,Bangalore,Sampangiramnagar,100,3.0,800.0,"MBBS, DNB - General Medicine"
236,Dr. Nikhil B,General Practitioner,13.0,Bangalore,Bilekahalli,90,9.0,700.0,"MBBS, MD - General Medicine, DNB - Neurology"
241,Dr. T Surendra Reddy,General Physician,16.0,Bangalore,Yelahanka,100,1.0,900.0,"MBBS, DNB - Radiotherapy"
251,Dr. Jyoti Puthran,General Physician,18.0,Bangalore,Kammana Halli,70,10.0,500.0,"MBBS, DNB - General Medicine"
253,Dr. Vinay Hosadurga,General Physician,15.0,Bangalore,Kumaraswamy Layout,100,1.0,550.0,"MBBS, MD - General Medicine"
256,Dr. Madhuri M C,General Physician,23.0,Bangalore,Gottigerre,50,4.0,400.0,"MBBS, MD - Biochemistry"
270,Dr. Prashanth Kalale,Orthopedist,23.0,Bangalore,Koramangala 5 Block,97,311.0,600.0,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics"
271,Dr. Somanna Malchira,Orthopedist,16.0,Bangalore,Hebbal,96,17.0,900.0,"MS - Orthopaedics, MBBS"
272,Dr. Archana Muralidharan,Ear-Nose-Throat (ENT) Specialist,20.0,Bangalore,Hebbal,90,37.0,800.0,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology"
273,Dr. Alok Banka,Ear-Nose-Throat (ENT) Specialist,19.0,Bangalore,Whitefield,93,1532.0,550.0,"MBBS, MS - ENT"
