,name,Speciality,Experience,Location,District,DP_score,Num_of_votes,Consultation_Fee,Degree
0,Dr. Shradha Goel,Ophthalmologist,20,Mumbai,Andheri West,99% ,169,499,"MS - Ophthalmology, MBBS"
1,Dr. Sony Mehta,Urologist,9 ,Mumbai,Andheri,99% ,303,2000,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery"
2,Dr. Samir Bagadia,Urologist,8 ,Mumbai,Andheri,100% ,4,1000,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
3,Dr. Nikunj Mody,Plastic Surgeon,15,Mumbai,Chembur,100% ,33,1000,"MCh - Plastic & Reconstructive Surgery, MS - General Surgery, MBBS"
4,Dr. Saumil Sheth,Ophthalmologist,22,Mumbai,Jogeshwari West,95% ,27,499,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FCPS- Ophthalmology, DOMS"
5,Dr. Prachi Parmar,Ophthalmologist,12,Mumbai,Ghatkopar,100% ,17,99,"DO, MBBS"
6,Dr. Rajeev Naik,General Surgeon,17,Mumbai,Ghatkopar East,89% ,15,800,"MBBS, MS - General Surgery"
7,Dr. Sanjeed C Pujary,Orthopedist,15,Mumbai,Andheri,N/A,N/A,1500,"MBBS, MS - Orthopaedics"
8,Dr. Prakash Hindurao Kurane,General Surgeon,8 ,Mumbai,Chembur,100% ,1,999,"MBBS, MS - General Surgery"
9,Dr. Sanjeev J Balani,Ophthalmologist,30,Mumbai,Bandra West,86% ,5,499,"MBBS, DOMS"
10,Dr. Dinesh K Hegde,Laparoscopic Surgeon,40,Mumbai,Chembur,90% ,4,99,"MBBS, MS - General Surgery"
11,Dr. Kunjal Sejpal,Ophthalmologist,20,Mumbai,Dadar,100% ,41,499,"MBBS, DNB - Ophthalmology, DO"
12,Dr. Jatin Ashar,Ophthalmologist,13,Mumbai,Ghatkopar,96% ,661,499,"MBBS, MD - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)"
13,Dr. Aditi Agrawal,General Surgeon,17,Mumbai,Borivali West,97% ,111,799,"MBBS, MS - General Surgery"
14,Dr. Mukesh Shah,Urologist,39,Mumbai,Andheri,90% ,9,700,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
15,Dr. Pranay Kapadia,Ophthalmologist,23,Mumbai,Bandra West,100% ,4,799,"MS - Ophthalmology, MBBS"
16,Dr. Vishal Diddi,Laparoscopic Surgeon,16,Mumbai,Andheri,100% ,29,700,"MBBS, DNB - General Surgery, FCPS - General Surgery"
17,Dr. Vicky Jain,Plastic Surgeon,16,Mumbai,Borivali West,99% ,72,999,"MCh - Plastic & Reconstructive Surgery, MS - General Surgery, MBBS"
18,Dr. Jamal Akhtar Azmi,Urologist,13,Mumbai,Ghatkopar East,100% ,260,900,"MCh - Urology, MS - General Surgery, MBBS"
19,Dr. Prakash Vaswani,General Surgeon,43,Mumbai,Chembur,63% ,1,500,"MBBS, MS - General Surgery"
20,Dr. Agraja Tripathi,General Surgeon,14,Mumbai,Ghatkopar East,100% ,4,699,"MBBS, DNB - General Surgery"
